CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
42,4,8,1047645,0.0000076362,Rendah,#B3FFE0
43,4,3,1167796,0.0000025689,Rendah,#B3FFE0
44,4,8,1587132,0.0000050405,Rendah,#B3FFE0
45,4,20,2637160,0.0000075839,Rendah,#B3FFE0
46,4,7,1047482,0.0000066827,Rendah,#B3FFE0
47,4,32,2471542,0.0000129474,Rendah,#B3FFE0
48,4,10,1622536,0.0000061632,Rendah,#B3FFE0
49,4,4,782676,0.0000051107,Rendah,#B3FFE0
50,4,3,689361,0.0000043519,Rendah,#B3FFE0
51,4,1,1182298,0.0000008458,Rendah,#B3FFE0
52,4,6,1650256,0.0000036358,Rendah,#B3FFE0
53,4,52,2321549,0.0000223988,Rendah,#B3FFE0
54,4,10,1136879,0.0000087960,Rendah,#B3FFE0
55,4,9,1274197,0.0000070633,Rendah,#B3FFE0
56,4,1,1060086,0.0000009433,Rendah,#B3FFE0
57,4,1,685490,0.0000014588,Rendah,#B3FFE0
58,4,2,636148,0.0000031439,Rendah,#B3FFE0
59,4,1,840327,0.0000011900,Rendah,#B3FFE0
60,4,2,1255119,0.0000015935,Rendah,#B3FFE0
61,4,5,1182070,0.0000042299,Rendah,#B3FFE0
62,4,6,1204437,0.0000049816,Rendah,#B3FFE0
63,4,29,1342628,0.0000215994,Rendah,#B3FFE0
64,4,4,1003188,0.0000039873,Rendah,#B3FFE0
65,4,2,1001140,0.0000019977,Rendah,#B3FFE0
66,4,3,898130,0.0000033403,Rendah,#B3FFE0
67,4,4,1096701,0.0000036473,Rendah,#B3FFE0
68,4,38,291256,0.0001304694,Tinggi,#00663D
69,4,3,143840,0.0000208565,Rendah,#B3FFE0
70,4,78,880169,0.0000886193,Tinggi,#00663D
71,4,1,241423,0.0000041421,Rendah,#B3FFE0
72,4,2,203244,0.0000098404,Rendah,#B3FFE0
73,4,5,131216,0.0000381051,Rendah,#B3FFE0
74,4,4,177972,0.0000224754,Rendah,#B3FFE0
75,4,317,2918543,0.0001086158,Tinggi,#00663D
76,4,4,211225,0.0000189372,Rendah,#B3FFE0
77,4,4,557164,0.0000071792,Sedang,#FF0080
78,4,0,877121,0.0000000000,Rendah,#FFCCE6
79,4,0,699526,0.0000000000,Rendah,#FFCCE6
80,4,0,1047645,0.0000000000,Rendah,#FFCCE6
81,4,1,1167796,0.0000008563,Rendah,#FFCCE6
82,4,0,1587132,0.0000000000,Rendah,#FFCCE6
83,4,0,2637160,0.0000000000,Rendah,#FFCCE6
84,4,2,1047482,0.0000019093,Rendah,#FFCCE6
85,4,0,2471542,0.0000000000,Rendah,#FFCCE6
86,4,3,1622536,0.0000018490,Rendah,#FFCCE6
87,4,0,782676,0.0000000000,Rendah,#FFCCE6
88,4,0,689361,0.0000000000,Rendah,#FFCCE6
89,4,0,1182298,0.0000000000,Rendah,#FFCCE6
